chromosome	coordinate	coverage
ENA|K03455|K03455.1	1	9
ENA|K03455|K03455.1	2	14
ENA|K03455|K03455.1	3	16
ENA|K03455|K03455.1	4	16
ENA|K03455|K03455.1	5	16
ENA|K03455|K03455.1	6	20
ENA|K03455|K03455.1	7	59
ENA|K03455|K03455.1	8	65
ENA|K03455|K03455.1	9	65
ENA|K03455|K03455.1	10	65
ENA|K03455|K03455.1	11	70
ENA|K03455|K03455.1	12	70
ENA|K03455|K03455.1	13	71
ENA|K03455|K03455.1	14	71
ENA|K03455|K03455.1	15	71
ENA|K03455|K03455.1	16	71
ENA|K03455|K03455.1	17	141
ENA|K03455|K03455.1	18	141
ENA|K03455|K03455.1	19	227
ENA|K03455|K03455.1	20	227
ENA|K03455|K03455.1	21	235
ENA|K03455|K03455.1	22	235
ENA|K03455|K03455.1	23	235
ENA|K03455|K03455.1	24	235
ENA|K03455|K03455.1	25	235
ENA|K03455|K03455.1	26	375
ENA|K03455|K03455.1	27	381
ENA|K03455|K03455.1	28	385
ENA|K03455|K03455.1	29	386
ENA|K03455|K03455.1	30	393
ENA|K03455|K03455.1	31	396
ENA|K03455|K03455.1	32	410
ENA|K03455|K03455.1	33	414
ENA|K03455|K03455.1	34	415
ENA|K03455|K03455.1	35	415
ENA|K03455|K03455.1	36	423
ENA|K03455|K03455.1	37	474
ENA|K03455|K03455.1	38	475
ENA|K03455|K03455.1	39	477
ENA|K03455|K03455.1	40	477
ENA|K03455|K03455.1	41	479
ENA|K03455|K03455.1	42	483
ENA|K03455|K03455.1	43	495
ENA|K03455|K03455.1	44	499
ENA|K03455|K03455.1	45	502
ENA|K03455|K03455.1	46	502
ENA|K03455|K03455.1	47	615
ENA|K03455|K03455.1	48	615
ENA|K03455|K03455.1	49	616
ENA|K03455|K03455.1	50	628
ENA|K03455|K03455.1	51	636
ENA|K03455|K03455.1	52	636
ENA|K03455|K03455.1	53	646
ENA|K03455|K03455.1	54	646
ENA|K03455|K03455.1	55	673
ENA|K03455|K03455.1	56	674
ENA|K03455|K03455.1	57	668
ENA|K03455|K03455.1	58	669
ENA|K03455|K03455.1	59	677
ENA|K03455|K03455.1	60	681
ENA|K03455|K03455.1	61	689
ENA|K03455|K03455.1	62	689
ENA|K03455|K03455.1	63	693
ENA|K03455|K03455.1	64	692
ENA|K03455|K03455.1	65	694
ENA|K03455|K03455.1	66	737
ENA|K03455|K03455.1	67	757
ENA|K03455|K03455.1	68	759
ENA|K03455|K03455.1	69	758
ENA|K03455|K03455.1	70	759
ENA|K03455|K03455.1	71	765
ENA|K03455|K03455.1	72	768
ENA|K03455|K03455.1	73	814
ENA|K03455|K03455.1	74	813
ENA|K03455|K03455.1	75	806
ENA|K03455|K03455.1	76	806
ENA|K03455|K03455.1	77	806
ENA|K03455|K03455.1	78	819
ENA|K03455|K03455.1	79	819
ENA|K03455|K03455.1	80	818
ENA|K03455|K03455.1	81	819
ENA|K03455|K03455.1	82	815
ENA|K03455|K03455.1	83	816
ENA|K03455|K03455.1	84	817
ENA|K03455|K03455.1	85	817
ENA|K03455|K03455.1	86	836
ENA|K03455|K03455.1	87	837
ENA|K03455|K03455.1	88	853
ENA|K03455|K03455.1	89	872
ENA|K03455|K03455.1	90	872
ENA|K03455|K03455.1	91	883
ENA|K03455|K03455.1	92	883
ENA|K03455|K03455.1	93	882
ENA|K03455|K03455.1	94	896
ENA|K03455|K03455.1	95	894
ENA|K03455|K03455.1	96	898
ENA|K03455|K03455.1	97	895
ENA|K03455|K03455.1	98	892
ENA|K03455|K03455.1	99	895
ENA|K03455|K03455.1	100	902
ENA|K03455|K03455.1	101	898
ENA|K03455|K03455.1	102	901
ENA|K03455|K03455.1	103	907
ENA|K03455|K03455.1	104	912
ENA|K03455|K03455.1	105	965
ENA|K03455|K03455.1	106	968
ENA|K03455|K03455.1	107	967
ENA|K03455|K03455.1	108	968
ENA|K03455|K03455.1	109	947
ENA|K03455|K03455.1	110	948
ENA|K03455|K03455.1	111	952
ENA|K03455|K03455.1	112	983
ENA|K03455|K03455.1	113	983
ENA|K03455|K03455.1	114	980
ENA|K03455|K03455.1	115	978
ENA|K03455|K03455.1	116	978
ENA|K03455|K03455.1	117	998
ENA|K03455|K03455.1	118	998
ENA|K03455|K03455.1	119	995
ENA|K03455|K03455.1	120	995
ENA|K03455|K03455.1	121	989
ENA|K03455|K03455.1	122	990
ENA|K03455|K03455.1	123	990
ENA|K03455|K03455.1	124	1000
ENA|K03455|K03455.1	125	999
ENA|K03455|K03455.1	126	995
ENA|K03455|K03455.1	127	995
ENA|K03455|K03455.1	128	995
ENA|K03455|K03455.1	129	996
ENA|K03455|K03455.1	130	996
ENA|K03455|K03455.1	131	993
ENA|K03455|K03455.1	132	993
ENA|K03455|K03455.1	133	986
ENA|K03455|K03455.1	134	994
ENA|K03455|K03455.1	135	993
ENA|K03455|K03455.1	136	994
ENA|K03455|K03455.1	137	994
ENA|K03455|K03455.1	138	994
ENA|K03455|K03455.1	139	994
ENA|K03455|K03455.1	140	994
ENA|K03455|K03455.1	141	994
ENA|K03455|K03455.1	142	996
ENA|K03455|K03455.1	143	989
ENA|K03455|K03455.1	144	954
ENA|K03455|K03455.1	145	944
ENA|K03455|K03455.1	146	942
ENA|K03455|K03455.1	147	942
ENA|K03455|K03455.1	148	942
ENA|K03455|K03455.1	149	942
ENA|K03455|K03455.1	150	942
ENA|K03455|K03455.1	151	923
ENA|K03455|K03455.1	152	919
ENA|K03455|K03455.1	153	916
ENA|K03455|K03455.1	154	915
ENA|K03455|K03455.1	155	910
ENA|K03455|K03455.1	156	909
ENA|K03455|K03455.1	157	906
ENA|K03455|K03455.1	158	906
ENA|K03455|K03455.1	159	906
ENA|K03455|K03455.1	160	905
ENA|K03455|K03455.1	161	902
ENA|K03455|K03455.1	162	902
ENA|K03455|K03455.1	163	900
ENA|K03455|K03455.1	164	665
ENA|K03455|K03455.1	165	665
ENA|K03455|K03455.1	166	665
ENA|K03455|K03455.1	167	665
ENA|K03455|K03455.1	168	665
ENA|K03455|K03455.1	169	666
ENA|K03455|K03455.1	170	655
ENA|K03455|K03455.1	171	654
ENA|K03455|K03455.1	172	652
ENA|K03455|K03455.1	173	614
ENA|K03455|K03455.1	174	614
ENA|K03455|K03455.1	175	603
ENA|K03455|K03455.1	176	602
ENA|K03455|K03455.1	177	601
ENA|K03455|K03455.1	178	601
ENA|K03455|K03455.1	179	610
ENA|K03455|K03455.1	180	611
ENA|K03455|K03455.1	181	613
ENA|K03455|K03455.1	182	609
ENA|K03455|K03455.1	183	612
ENA|K03455|K03455.1	184	624
ENA|K03455|K03455.1	185	655
ENA|K03455|K03455.1	186	662
ENA|K03455|K03455.1	187	665
ENA|K03455|K03455.1	188	666
ENA|K03455|K03455.1	189	670
ENA|K03455|K03455.1	190	667
ENA|K03455|K03455.1	191	686
ENA|K03455|K03455.1	192	688
ENA|K03455|K03455.1	193	697
ENA|K03455|K03455.1	194	712
ENA|K03455|K03455.1	195	712
ENA|K03455|K03455.1	196	713
ENA|K03455|K03455.1	197	717
ENA|K03455|K03455.1	198	721
ENA|K03455|K03455.1	199	730
ENA|K03455|K03455.1	200	733
ENA|K03455|K03455.1	201	745
ENA|K03455|K03455.1	202	750
ENA|K03455|K03455.1	203	763
ENA|K03455|K03455.1	204	763
ENA|K03455|K03455.1	205	763
ENA|K03455|K03455.1	206	764
ENA|K03455|K03455.1	207	765
ENA|K03455|K03455.1	208	765
ENA|K03455|K03455.1	209	858
ENA|K03455|K03455.1	210	873
ENA|K03455|K03455.1	211	917
ENA|K03455|K03455.1	212	918
ENA|K03455|K03455.1	213	922
ENA|K03455|K03455.1	214	925
ENA|K03455|K03455.1	215	925
ENA|K03455|K03455.1	216	937
ENA|K03455|K03455.1	217	937
ENA|K03455|K03455.1	218	934
ENA|K03455|K03455.1	219	936
ENA|K03455|K03455.1	220	924
ENA|K03455|K03455.1	221	952
ENA|K03455|K03455.1	222	953
ENA|K03455|K03455.1	223	952
ENA|K03455|K03455.1	224	951
ENA|K03455|K03455.1	225	949
ENA|K03455|K03455.1	226	950
ENA|K03455|K03455.1	227	950
ENA|K03455|K03455.1	228	950
ENA|K03455|K03455.1	229	950
ENA|K03455|K03455.1	230	950
ENA|K03455|K03455.1	231	950
ENA|K03455|K03455.1	232	950
ENA|K03455|K03455.1	233	951
ENA|K03455|K03455.1	234	950
ENA|K03455|K03455.1	235	941
ENA|K03455|K03455.1	236	940
ENA|K03455|K03455.1	237	940
ENA|K03455|K03455.1	238	949
ENA|K03455|K03455.1	239	946
ENA|K03455|K03455.1	240	947
ENA|K03455|K03455.1	241	948
ENA|K03455|K03455.1	242	952
ENA|K03455|K03455.1	243	948
ENA|K03455|K03455.1	244	950
ENA|K03455|K03455.1	245	930
ENA|K03455|K03455.1	246	933
ENA|K03455|K03455.1	247	932
ENA|K03455|K03455.1	248	932
ENA|K03455|K03455.1	249	933
ENA|K03455|K03455.1	250	914
ENA|K03455|K03455.1	251	917
ENA|K03455|K03455.1	252	891
ENA|K03455|K03455.1	253	891
ENA|K03455|K03455.1	254	884
ENA|K03455|K03455.1	255	884
ENA|K03455|K03455.1	256	878
ENA|K03455|K03455.1	257	878
ENA|K03455|K03455.1	258	875
ENA|K03455|K03455.1	259	874
ENA|K03455|K03455.1	260	874
ENA|K03455|K03455.1	261	863
ENA|K03455|K03455.1	262	864
ENA|K03455|K03455.1	263	863
ENA|K03455|K03455.1	264	863
ENA|K03455|K03455.1	265	863
ENA|K03455|K03455.1	266	862
ENA|K03455|K03455.1	267	862
ENA|K03455|K03455.1	268	861
ENA|K03455|K03455.1	269	860
ENA|K03455|K03455.1	270	856
