chromosome	coordinate	coverage
ENA|K03455|K03455.1	1	9
ENA|K03455|K03455.1	2	12
ENA|K03455|K03455.1	3	13
ENA|K03455|K03455.1	4	13
ENA|K03455|K03455.1	5	13
ENA|K03455|K03455.1	6	17
ENA|K03455|K03455.1	7	57
ENA|K03455|K03455.1	8	63
ENA|K03455|K03455.1	9	63
ENA|K03455|K03455.1	10	63
ENA|K03455|K03455.1	11	67
ENA|K03455|K03455.1	12	67
ENA|K03455|K03455.1	13	68
ENA|K03455|K03455.1	14	68
ENA|K03455|K03455.1	15	68
ENA|K03455|K03455.1	16	68
ENA|K03455|K03455.1	17	147
ENA|K03455|K03455.1	18	147
ENA|K03455|K03455.1	19	234
ENA|K03455|K03455.1	20	234
ENA|K03455|K03455.1	21	242
ENA|K03455|K03455.1	22	242
ENA|K03455|K03455.1	23	242
ENA|K03455|K03455.1	24	242
ENA|K03455|K03455.1	25	245
ENA|K03455|K03455.1	26	399
ENA|K03455|K03455.1	27	406
ENA|K03455|K03455.1	28	410
ENA|K03455|K03455.1	29	412
ENA|K03455|K03455.1	30	420
ENA|K03455|K03455.1	31	423
ENA|K03455|K03455.1	32	438
ENA|K03455|K03455.1	33	441
ENA|K03455|K03455.1	34	443
ENA|K03455|K03455.1	35	443
ENA|K03455|K03455.1	36	450
ENA|K03455|K03455.1	37	508
ENA|K03455|K03455.1	38	509
ENA|K03455|K03455.1	39	511
ENA|K03455|K03455.1	40	512
ENA|K03455|K03455.1	41	514
ENA|K03455|K03455.1	42	518
ENA|K03455|K03455.1	43	529
ENA|K03455|K03455.1	44	533
ENA|K03455|K03455.1	45	536
ENA|K03455|K03455.1	46	536
ENA|K03455|K03455.1	47	654
ENA|K03455|K03455.1	48	654
ENA|K03455|K03455.1	49	656
ENA|K03455|K03455.1	50	667
ENA|K03455|K03455.1	51	675
ENA|K03455|K03455.1	52	675
ENA|K03455|K03455.1	53	687
ENA|K03455|K03455.1	54	687
ENA|K03455|K03455.1	55	715
ENA|K03455|K03455.1	56	717
ENA|K03455|K03455.1	57	711
ENA|K03455|K03455.1	58	712
ENA|K03455|K03455.1	59	720
ENA|K03455|K03455.1	60	725
ENA|K03455|K03455.1	61	735
ENA|K03455|K03455.1	62	735
ENA|K03455|K03455.1	63	739
ENA|K03455|K03455.1	64	738
ENA|K03455|K03455.1	65	741
ENA|K03455|K03455.1	66	788
ENA|K03455|K03455.1	67	805
ENA|K03455|K03455.1	68	808
ENA|K03455|K03455.1	69	808
ENA|K03455|K03455.1	70	810
ENA|K03455|K03455.1	71	817
ENA|K03455|K03455.1	72	820
ENA|K03455|K03455.1	73	875
ENA|K03455|K03455.1	74	876
ENA|K03455|K03455.1	75	871
ENA|K03455|K03455.1	76	871
ENA|K03455|K03455.1	77	871
ENA|K03455|K03455.1	78	886
ENA|K03455|K03455.1	79	887
ENA|K03455|K03455.1	80	887
ENA|K03455|K03455.1	81	889
ENA|K03455|K03455.1	82	886
ENA|K03455|K03455.1	83	887
ENA|K03455|K03455.1	84	889
ENA|K03455|K03455.1	85	889
ENA|K03455|K03455.1	86	909
ENA|K03455|K03455.1	87	910
ENA|K03455|K03455.1	88	926
ENA|K03455|K03455.1	89	947
ENA|K03455|K03455.1	90	947
ENA|K03455|K03455.1	91	959
ENA|K03455|K03455.1	92	959
ENA|K03455|K03455.1	93	959
ENA|K03455|K03455.1	94	976
