chromosome	coordinate	coverage
ENA|K03455|K03455.1	1	10
ENA|K03455|K03455.1	2	14
ENA|K03455|K03455.1	3	16
ENA|K03455|K03455.1	4	16
ENA|K03455|K03455.1	5	16
ENA|K03455|K03455.1	6	21
ENA|K03455|K03455.1	7	59
ENA|K03455|K03455.1	8	64
ENA|K03455|K03455.1	9	64
ENA|K03455|K03455.1	10	64
ENA|K03455|K03455.1	11	68
ENA|K03455|K03455.1	12	68
ENA|K03455|K03455.1	13	69
ENA|K03455|K03455.1	14	69
ENA|K03455|K03455.1	15	69
ENA|K03455|K03455.1	16	69
ENA|K03455|K03455.1	17	153
ENA|K03455|K03455.1	18	153
ENA|K03455|K03455.1	19	245
ENA|K03455|K03455.1	20	245
ENA|K03455|K03455.1	21	254
ENA|K03455|K03455.1	22	254
ENA|K03455|K03455.1	23	255
ENA|K03455|K03455.1	24	255
ENA|K03455|K03455.1	25	257
ENA|K03455|K03455.1	26	414
ENA|K03455|K03455.1	27	421
ENA|K03455|K03455.1	28	425
ENA|K03455|K03455.1	29	427
ENA|K03455|K03455.1	30	435
ENA|K03455|K03455.1	31	438
ENA|K03455|K03455.1	32	454
ENA|K03455|K03455.1	33	457
ENA|K03455|K03455.1	34	460
ENA|K03455|K03455.1	35	460
ENA|K03455|K03455.1	36	468
ENA|K03455|K03455.1	37	530
ENA|K03455|K03455.1	38	531
ENA|K03455|K03455.1	39	533
ENA|K03455|K03455.1	40	533
ENA|K03455|K03455.1	41	535
ENA|K03455|K03455.1	42	539
ENA|K03455|K03455.1	43	550
ENA|K03455|K03455.1	44	555
ENA|K03455|K03455.1	45	559
ENA|K03455|K03455.1	46	559
ENA|K03455|K03455.1	47	677
ENA|K03455|K03455.1	48	677
ENA|K03455|K03455.1	49	679
ENA|K03455|K03455.1	50	691
ENA|K03455|K03455.1	51	699
ENA|K03455|K03455.1	52	699
ENA|K03455|K03455.1	53	711
ENA|K03455|K03455.1	54	711
ENA|K03455|K03455.1	55	742
ENA|K03455|K03455.1	56	744
ENA|K03455|K03455.1	57	739
ENA|K03455|K03455.1	58	741
ENA|K03455|K03455.1	59	751
ENA|K03455|K03455.1	60	756
ENA|K03455|K03455.1	61	767
ENA|K03455|K03455.1	62	767
ENA|K03455|K03455.1	63	771
ENA|K03455|K03455.1	64	770
ENA|K03455|K03455.1	65	773
ENA|K03455|K03455.1	66	820
ENA|K03455|K03455.1	67	839
ENA|K03455|K03455.1	68	843
ENA|K03455|K03455.1	69	842
ENA|K03455|K03455.1	70	844
ENA|K03455|K03455.1	71	851
ENA|K03455|K03455.1	72	854
ENA|K03455|K03455.1	73	910
ENA|K03455|K03455.1	74	910
ENA|K03455|K03455.1	75	905
ENA|K03455|K03455.1	76	905
ENA|K03455|K03455.1	77	905
ENA|K03455|K03455.1	78	920
ENA|K03455|K03455.1	79	921
ENA|K03455|K03455.1	80	920
ENA|K03455|K03455.1	81	923
ENA|K03455|K03455.1	82	918
ENA|K03455|K03455.1	83	919
ENA|K03455|K03455.1	84	920
ENA|K03455|K03455.1	85	921
ENA|K03455|K03455.1	86	941
ENA|K03455|K03455.1	87	942
ENA|K03455|K03455.1	88	960
ENA|K03455|K03455.1	89	980
ENA|K03455|K03455.1	90	980
ENA|K03455|K03455.1	91	993
ENA|K03455|K03455.1	92	993
ENA|K03455|K03455.1	93	992
ENA|K03455|K03455.1	94	1010
ENA|K03455|K03455.1	95	1006
ENA|K03455|K03455.1	96	1012
ENA|K03455|K03455.1	97	1011
ENA|K03455|K03455.1	98	1006
ENA|K03455|K03455.1	99	1009
